created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 07:30:46 +0000 2023;1723604229749948558;"@WagimanDeep212_ Setoran judi online kah??";0;0;0;0;in;1513630415919390720;1723600237942702409;Kikaku2015;https://twitter.com/Kikaku2015/status/1723604229749948558
Sun Nov 12 07:29:00 +0000 2023;1723603786642661586;"Terjebak Judi Online? Berikut Cara Menghentikannya, 5 Langkah Mengatasi Kecanduan Judi Online Sebelum Menyesal  https://t.co/5P98EWYN54";0;0;0;0;in;3019796018;1723603786642661586;oke_anggit;https://twitter.com/oke_anggit/status/1723603786642661586
Sun Nov 12 07:23:15 +0000 2023;1723602339435876730;"KEJUQQ Situs Judi Online Terpercaya Dengan Win Rate Kemenangan 98% Daftar Dan Mainkan Akun Hoki Anda Hanya Dengan Modal Deposit RP 10.000 DEPOSIT PULSA TANPA POTONGAN BONUS ROLLINGAN 0,5% BONUS REFERRAL 20% LINK : https://t.co/7dHbpbr9hV WA : +85560313348 https://t.co/1XBJsh9GE1";0;0;0;0;in;1645323681038729216;1723602339435876730;BiancaApri73127;https://twitter.com/BiancaApri73127/status/1723602339435876730
Sun Nov 12 07:22:38 +0000 2023;1723602185328767161;"KEJUQQ Situs Judi Online Terpercaya Dengan Win Rate Kemenangan 98% Daftar Dan Mainkan Akun Hoki Anda Hanya Dengan Modal Deposit RP 10.000 DEPOSIT PULSA TANPA POTONGAN BONUS ROLLINGAN 0,5% BONUS REFERRAL 20% LINK : https://t.co/awWZrYm55l WA : +85560313348 https://t.co/yFZxwIhl1z";0;0;0;0;in;1291835413431119872;1723602185328767161;Jenny51726182;https://twitter.com/Jenny51726182/status/1723602185328767161
Sun Nov 12 07:22:22 +0000 2023;1723602115904610374;"KEJUQQ Situs Judi Online Terpercaya Dengan Win Rate Kemenangan 98% Daftar Dan Mainkan Akun Hoki Anda Hanya Dengan Modal Deposit RP 10.000 DEPOSIT PULSA TANPA POTONGAN BONUS ROLLINGAN 0,5% BONUS REFERRAL 20% LINK : https://t.co/91YMdcrHVb WA : +85560313348 https://t.co/tIgxUMxF8u";0;0;0;0;in;1328798761095626754;1723602115904610374;BayuNur67456713;https://twitter.com/BayuNur67456713/status/1723602115904610374
Sun Nov 12 07:20:06 +0000 2023;1723601546133602722;"Bosan setiap main judi online karena kalah terus? Gabung bersama kami di KEJUQQ 100% player vs player 20% bonus referral 0,5% bonus rollingan Contact Us : 📞WA :+85560313348 📌LINK :https://t.co/RnXUoF20oZ https://t.co/fKhDdyzLOO";0;0;0;0;in;1659940482011766786;1723601546133602722;Hanapeng1087523;https://twitter.com/Hanapeng1087523/status/1723601546133602722
Sun Nov 12 07:19:58 +0000 2023;1723601511903879210;"Bosan setiap main judi online karena kalah terus? Gabung bersama kami di KEJUQQ 100% player vs player 20% bonus referral 0,5% bonus rollingan Contact Us : 📞WA :+85560313348 📌LINK :https://t.co/tUh0hWY0hm https://t.co/VUWuGGkbNh";0;0;0;0;in;1451302235099447310;1723601511903879210;LisaClaudia11;https://twitter.com/LisaClaudia11/status/1723601511903879210
Sun Nov 12 07:11:14 +0000 2023;1723599316890292638;"@kumparan Maksudnya anak muda yg gak judi online kan ini ya. Bahaya kalo akses terhadap keuangan dipermudah, bisa2 para pejudi online atau trader ilegal marak. Pinjol aja masalahnya blm kelar2. Haha";0;0;0;0;in;1361927032221802497;1723239287704224158;ArifMIqbal2;https://twitter.com/ArifMIqbal2/status/1723599316890292638
Sun Nov 12 07:04:19 +0000 2023;1723597576791085459;"Bosan setiap main judi online karena kalah terus? Gabung bersama kami di KEJUQQ 100% player vs player 20% bonus referral 0,5% bonus rollingan Contact Us : 📞WA :+85560313348 📌LINK :https://t.co/pBepI6f5Qw https://t.co/kWulyIMSdP";0;0;0;0;in;1646042647038144512;1723597576791085459;Tasya_venus77;https://twitter.com/Tasya_venus77/status/1723597576791085459
Sun Nov 12 07:04:04 +0000 2023;1723597510445531336;"Bosan setiap main judi online karena kalah terus? Gabung bersama kami di KEJUQQ 100% player vs player 20% bonus referral 0,5% bonus rollingan Contact Us : 📞WA :+85560313348 📌LINK :https://t.co/Gyah75j5Oh https://t.co/MNzV4mcxx9";0;0;0;0;in;1645737789319946245;1723597510445531336;LiliLiana789;https://twitter.com/LiliLiana789/status/1723597510445531336
